Month,Income,Food,Travel,Rent,Shopping,Bills,Entertainment,Total_Expense,Savings
Feb,34266,8360,7361,14875,10171,3178,5499,49444,-15178
Oct,59422,6816,3112,19853,9275,2172,3464,44692,14730
Dec,55208,5743,6287,7425,2365,3627,1388,26835,28373
Feb,51213,9159,1797,5425,9741,4453,5886,36461,14752
Oct,27367,2518,7053,6787,11954,1619,5925,35856,-8489
Apr,99026,2268,857,7584,4853,2412,5625,23599,75427
Aug,55362,14925,6266,9648,5682,3502,1633,41656,13706
Jul,71588,7444,6741,21552,6960,2762,4738,50197,21391
Dec,58285,7475,5602,5514,9343,1242,4802,33978,24307
Sep,94755,6185,740,8435,8689,4653,665,29367,65388
Aug,91846,7161,3104,9525,6157,2952,4256,33155,58691
May,56307,11580,7354,24000,4498,3268,4989,55689,618
Feb,39867,11886,4564,15569,11404,1282,620,45325,-5458
May,76523,13465,2326,8204,3985,596,3497,32073,44450
Aug,26378,11581,7781,12765,2567,1086,5008,40788,-14410
Oct,96958,5865,4058,15696,9403,2738,3711,41471,55487
Sep,47926,13221,4360,29928,7669,1416,2475,59069,-11143
Dec,33180,10011,5860,21142,11371,3849,3655,55888,-22708
Dec,56931,4335,4751,19679,5191,3086,920,37962,18969
Dec,44014,5674,4947,6117,10718,4680,2229,34365,9649
Sep,99872,6576,4639,6405,8156,2988,3335,32099,67773
Jan,78502,2500,7235,17131,9713,4293,4863,45735,32767
Sep,25470,11853,7979,20097,7517,3337,2585,53368,-27898
Jul,34953,12291,637,10414,6135,2886,2885,35248,-295
Sep,58507,10083,4234,11341,10894,2341,2277,41170,17337
Aug,26523,10294,2467,9174,7751,1702,2877,34265,-7742
Jan,77190,7543,7079,22061,9209,1229,4794,51915,25275
Dec,67761,4746,5349,13742,8174,816,3357,36184,31577
Aug,51169,5276,642,5213,2719,575,4600,19025,32144
Aug,65641,5085,7667,6666,9061,3546,1955,33980,31661
Nov,42990,7735,6442,18276,5014,703,1488,39658,3332
Mar,49661,9796,7966,14085,1878,4788,5990,44503,5158
Jan,33419,8613,4133,25638,9785,4275,5490,57934,-24515
Aug,34457,13729,6905,17268,7272,3444,2390,51008,-16551
Mar,87600,3327,3059,24170,2609,4855,2982,41002,46598
Mar,96102,9772,7316,29597,10067,3551,1149,61452,34650
Jan,53085,12666,4657,27244,7714,3163,2328,57772,-4687
Nov,70654,11871,6186,6261,6109,931,2928,34286,36368
May,26130,5746,6042,22556,3448,3263,5174,46229,-20099
Oct,22042,7684,6015,26264,3136,3662,2817,49578,-27536
Jul,90134,4562,2519,18890,7966,697,546,35180,54954
Oct,62982,6163,6674,23438,3053,538,4960,44826,18156
Sep,85185,5317,7997,18544,8763,3018,2615,46254,38931
Dec,53477,4436,7592,15084,1083,2626,2754,33575,19902
Jul,72709,7769,3349,20139,10631,1228,572,43688,29021
Sep,48716,10499,1692,24199,3668,4399,5878,50335,-1619
Aug,98137,14188,2813,26058,6231,3665,3957,56912,41225
Dec,56018,7918,2855,21121,11411,4727,2522,50554,5464
Feb,28061,3089,3006,10196,9890,2624,4585,33390,-5329
Jan,28609,6555,7852,9584,2820,4634,2577,34022,-5413
Jul,55371,4394,833,10021,5414,4271,1526,26459,28912
Jul,40805,8468,3062,27614,8249,3757,2043,53193,-12388
Aug,27857,6004,7084,15182,10290,3706,5116,47382,-19525
May,31620,2666,3220,17509,7572,3098,4996,39061,-7441
Mar,28177,7718,2938,15652,8627,4935,2536,42406,-14229
Dec,50111,7152,2295,7631,3894,3813,5249,30034,20077
Aug,31826,14355,7578,11345,4417,1744,5545,44984,-13158
Jun,33890,4234,7203,13096,1248,4587,1347,31715,2175
Nov,78031,8335,753,19906,8810,1157,4580,43541,34490
Mar,95020,3236,4157,11300,11149,3465,1995,35302,59718
Jan,25495,3623,1923,28732,2890,2199,1434,40801,-15306
Mar,48481,3374,3737,10844,8880,4956,1895,33686,14795
May,31267,9275,3831,23560,3115,3543,1038,44362,-13095
Mar,26743,13503,1527,10362,7581,4924,3919,41816,-15073
Jan,74800,8359,6507,13097,4063,2299,570,34895,39905
May,68773,2176,2666,10599,6651,4126,755,26973,41800
Oct,77042,11545,5591,19605,2806,4477,2694,46718,30324
Jul,69476,8704,4494,9258,8300,2476,1401,34633,34843
Jul,48552,4928,969,25503,9487,4169,1169,46225,2327
Nov,85242,10817,6089,11640,3694,4692,2383,39315,45927
Sep,65772,9617,7428,9288,11183,1437,639,39592,26180
Oct,63730,12846,6483,22261,6493,1789,3202,53074,10656
Oct,48948,9614,6119,25869,9223,2650,3168,56643,-7695
Dec,96311,13800,1593,23928,5650,1012,1946,47929,48382
Mar,89093,5715,5289,10059,9126,2016,3418,35623,53470
Jul,89123,6274,3412,20141,1792,2582,4403,38604,50519
Jan,36535,10586,7419,28548,5191,1904,4659,58307,-21772
Apr,86490,11360,5989,7600,2089,4992,1794,33824,52666
Apr,66562,6971,6640,20902,9421,2431,1367,47732,18830
May,78535,10389,680,24912,3780,2385,3382,45528,33007
Jul,61269,2968,4567,23792,5497,2853,5108,44785,16484
Jul,62462,14100,3576,9860,1789,4307,5626,39258,23204
Nov,23127,5155,1720,15165,5194,3246,1916,32396,-9269
Apr,43147,6764,4642,25332,10990,1080,3572,52380,-9233
Jul,65528,4504,4123,7334,5457,2712,3832,27962,37566
Nov,97095,9643,5229,5767,7671,3829,5463,37602,59493
Mar,88931,11468,5759,16737,5635,601,5373,45573,43358
Jun,86381,8006,6284,18372,6961,4788,5621,50032,36349
Dec,83749,14359,2063,26267,7738,4342,3082,57851,25898
Feb,58672,14510,6046,25590,6155,3463,858,56622,2050
Oct,33731,9962,5184,27332,1313,798,2000,46589,-12858
Sep,74512,9943,4132,12085,7633,4616,2438,40847,33665
May,71024,3269,6473,5744,1232,544,1314,18576,52448
Jun,23832,3364,2857,25558,6735,3043,1095,42652,-18820
Dec,52332,8716,6917,28582,10221,4359,5566,64361,-12029
Dec,32467,2923,2062,23940,8849,4894,726,43394,-10927
Dec,61025,2470,5435,26450,3711,4052,3495,45613,15412
Dec,33107,8597,1913,29181,11480,3655,4335,59161,-26054
Apr,97994,13208,3006,9161,8940,3631,5412,43358,54636
Nov,63481,12246,5328,18821,11797,787,3818,52797,10684
Oct,22581,14475,7004,14586,4344,4205,2564,47178,-24597
Jul,95118,12243,1517,5286,3122,1016,2851,26035,69083
Dec,71638,4954,7736,8247,11522,2701,2037,37197,34441
Sep,28418,3148,4154,15794,4779,4937,1864,34676,-6258
Jul,49113,5086,7305,10099,6654,4681,3328,37153,11960
Jan,83044,11151,7342,21387,10072,4158,1584,55694,27350
Jan,99955,2629,6050,21061,2172,4786,766,37464,62491
Sep,81030,9407,7528,27319,8317,3823,5716,62110,18920
Nov,31814,2774,1257,5411,8744,4576,5902,28664,3150
Sep,30024,10551,4279,25729,1159,4436,1770,47924,-17900
Apr,83288,10709,7699,25111,11685,1669,534,57407,25881
Sep,77836,3343,6598,18798,8963,1490,5381,44573,33263
Mar,27435,9398,1120,20704,3129,4205,567,39123,-11688
Jul,87084,12161,2388,15109,4078,2351,688,36775,50309
Jun,90601,9197,4084,6356,3229,3209,4636,30711,59890
Aug,23407,7016,681,13349,3917,4507,5203,34673,-11266
Nov,52940,13419,7329,22984,4013,3121,1182,52048,892
Sep,25666,9797,3228,28541,10741,2678,5540,60525,-34859
May,57122,4899,2795,10706,7326,1338,3454,30518,26604
Jan,45092,2934,3167,16681,2579,2055,3638,31054,14038
Mar,95645,3986,5916,26943,2960,1722,5542,47069,48576
Oct,46505,6996,2299,12196,8902,2543,1831,34767,11738
Dec,56713,8542,6673,26457,7657,1933,3690,54952,1761
Aug,74387,7465,5921,23766,4844,1668,1352,45016,29371
Nov,63169,8311,1999,18549,5697,1447,5569,41572,21597
Jun,93282,10568,7516,21536,3390,660,3558,47228,46054
Aug,97511,13752,5543,14821,2419,3631,1256,41422,56089
Sep,71742,11966,5971,7796,4917,3127,4496,38273,33469
Apr,60522,3505,1484,16073,5942,3035,2194,32233,28289
Jan,23880,7363,4053,12282,9354,2772,1807,37631,-13751
Jan,63454,12846,2864,11951,9307,3963,3095,44026,19428
Oct,75711,3010,7380,24189,8570,660,5967,49776,25935
Apr,63539,5477,6016,9080,6198,2284,1718,30773,32766
Dec,88321,9741,7756,16662,10662,2444,983,48248,40073
Jul,34799,11422,3805,14247,7002,3682,5183,45341,-10542
Feb,80102,11369,2715,15771,6142,4474,5967,46438,33664
Mar,70726,5857,3290,15957,4852,4124,4488,38568,32158
Jan,68784,12287,625,27234,1542,4244,4049,49981,18803
May,63333,11864,3120,28746,9605,1266,1621,56222,7111
Jan,60828,12120,4715,6328,9873,2527,781,36344,24484
Aug,89526,5839,1951,17236,9833,4506,1129,40494,49032
Jan,74362,13370,1508,23776,4978,684,2966,47282,27080
Nov,73997,6268,1713,8153,2432,2396,4818,25780,48217
Jan,70341,4553,4204,29576,9860,3795,4675,56663,13678
Feb,39073,12637,6047,5166,11261,2904,5421,43436,-4363
Feb,34549,6389,7203,19652,8805,3039,3229,48317,-13768
Dec,76920,2551,7869,24638,1968,1232,3964,42222,34698
Jun,95515,7566,3630,26444,6800,2121,2881,49442,46073
Jul,40316,13089,1196,20233,8845,1077,3436,47876,-7560
May,46183,11231,2770,6885,10372,2661,1851,35770,10413
Jan,44624,7758,2015,25752,6591,877,5621,48614,-3990
Jan,82515,11076,1534,19708,6383,4348,5822,48871,33644
Mar,66705,5051,3340,12529,8470,1808,2805,34003,32702
Feb,46756,7322,2035,5899,5819,4692,3938,29705,17051
May,80390,14421,1313,7248,8632,1341,1336,34291,46099
Dec,88369,13789,809,16455,4235,2671,3949,41908,46461
Oct,90821,4555,1511,8412,6255,655,5050,26438,64383
Jun,29589,3089,7392,16769,1251,4648,2566,35715,-6126
Jul,34116,14767,5653,20947,5300,2202,3501,52370,-18254
Apr,93181,2458,1518,15379,8409,3135,5574,36473,56708
Jul,64786,6721,3911,11449,4998,3885,932,31896,32890
Nov,96425,14446,4218,14411,9982,1913,4847,49817,46608
Aug,50286,8304,7124,8132,6180,544,5391,35675,14611
Nov,35994,12199,7217,13155,6421,2186,4414,45592,-9598
Jan,46639,3920,5420,13136,2495,2669,4133,31773,14866
Jun,37205,9694,4310,5359,8978,3741,3457,35539,1666
Aug,76677,7668,2544,11450,11899,3225,3285,40071,36606
May,52930,8298,1616,15231,9141,1923,720,36929,16001
Apr,93313,8629,5223,29031,6378,4514,2660,56435,36878
Feb,38316,14719,1656,16346,3577,573,5155,42026,-3710
Jun,47304,7146,7487,29909,6306,3518,5677,60043,-12739
Jun,33403,3003,1488,19852,9133,2060,2744,38280,-4877
Nov,93495,5083,2966,22114,2235,1391,4308,38097,55398
Jan,51932,12306,6087,12067,2058,3632,1279,37429,14503
Sep,56701,4589,2328,14689,10362,2389,2762,37119,19582
Dec,23385,12335,2577,22801,4659,1746,5231,49349,-25964
Nov,77241,6310,6588,12767,6368,4302,1539,37874,39367
Jun,30367,4241,2845,29272,1056,972,2780,41166,-10799
Mar,85030,7766,1584,8763,11084,2717,2303,34217,50813
Apr,66505,9711,3005,11928,8472,1200,1888,36204,30301
Dec,53332,6980,4544,27080,3569,2579,4008,48760,4572
Nov,96325,12278,2851,5878,5080,552,2618,29257,67068
Apr,55268,2938,3505,26866,7377,3487,4283,48456,6812
Mar,45563,6301,4935,24268,2948,638,4555,43645,1918
Oct,56404,5970,2995,15787,1222,1897,2082,29953,26451
Mar,75182,5999,6455,23681,10831,2637,4517,54120,21062
Mar,52991,6650,5921,13852,6217,1327,3945,37912,15079
Apr,67663,8627,7524,16336,10949,2583,957,46976,20687
Jul,85886,5408,7183,18487,10027,3476,4806,49387,36499
Apr,44127,10962,7128,12371,3536,1748,3318,39063,5064
Sep,77692,2248,576,25369,3525,4864,5658,42240,35452
Jan,57500,10564,6252,6269,10176,685,3831,37777,19723
Aug,53785,7950,3062,17898,2357,3942,1176,36385,17400
Jul,67997,4926,2072,22678,5887,3693,2642,41898,26099
Feb,27170,9975,7587,22393,8722,1912,1913,52502,-25332
Aug,33303,5857,7302,15283,6982,3688,1405,40517,-7214
Jan,91743,6930,4687,23141,5477,3416,5887,49538,42205
Nov,97852,9014,6470,15156,10638,1515,5685,48478,49374
Dec,55187,10893,5061,29160,2371,4634,3891,56010,-823
Sep,85034,12377,7109,17835,4224,4761,4491,50797,34237
Sep,91776,8966,4170,14383,2874,2435,2722,35550,56226
Feb,21893,11133,3611,11578,11691,1968,611,40592,-18699
Jul,33753,14106,3237,29564,4361,4926,3879,60073,-26320
Oct,58090,8587,1852,14245,7104,1858,4373,38019,20071
Mar,84922,8496,5904,24225,2142,2269,3651,46687,38235
Jul,96768,7091,1446,10716,5309,3261,2444,30267,66501
Dec,79412,10985,5149,23788,9756,3382,3000,56060,23352
Oct,76030,2677,4368,24946,7898,1689,912,42490,33540
Sep,37509,7909,3637,15014,2588,1692,4568,35408,2101
Apr,88653,3561,6636,22655,5998,3316,3151,45317,43336
Dec,56929,6053,6752,29828,10662,4121,5555,62971,-6042
Jan,68291,10644,3986,20120,5342,1542,685,42319,25972
Feb,24042,12658,4687,7768,4362,725,2076,32276,-8234
Jan,82574,5656,1502,20741,2636,2478,3658,36671,45903
Dec,57201,7234,4963,14751,10664,4477,4577,46666,10535
May,34016,6146,1319,29185,7227,4331,550,48758,-14742
May,45022,7488,922,13928,2244,3144,1669,29395,15627
Nov,47938,10081,1071,11142,11290,2383,4950,40917,7021
Jul,63678,13946,3409,18187,11789,1040,5903,54274,9404
Sep,81720,2209,5859,23312,7914,1145,535,40974,40746
Sep,76805,6983,5030,21257,6306,4786,776,45138,31667
Mar,94323,9141,6855,27650,11704,2188,5944,63482,30841
Mar,21986,12118,1923,10413,5514,1354,2964,34286,-12300
Mar,96478,6945,2133,28212,9450,904,1388,49032,47446
Apr,32161,9980,7169,7190,3358,3843,903,32443,-282
Aug,40689,5966,2253,6002,6615,2977,5109,28922,11767
Jun,80924,12069,967,16177,2268,1019,3113,35613,45311
Aug,94308,10818,5789,15114,10131,3440,2988,48280,46028
Jan,83745,12918,6438,28038,3376,1907,4485,57162,26583
Aug,21211,11650,5387,13094,9387,1320,5865,46703,-25492
Apr,20229,4824,3422,27451,4096,4174,3539,47506,-27277
Nov,68542,3250,6853,8752,4635,4335,5665,33490,35052
Jan,34345,6758,2803,27584,1561,4567,2622,45895,-11550
Aug,51819,6363,2206,25521,9231,3787,1672,48780,3039
Apr,67779,4163,572,25086,10959,2681,5628,49089,18690
Jun,85584,11815,646,27327,8739,3732,5109,57368,28216
Aug,39950,3853,816,9438,7871,924,3087,25989,13961
Apr,35173,2753,1105,9427,3504,2051,789,19629,15544
Mar,78032,7448,1074,10556,8021,857,2728,30684,47348
Sep,48036,3868,1677,13532,6971,3946,2813,32807,15229
Mar,91356,2181,3826,23772,8876,2094,4678,45427,45929
Sep,34292,3513,3922,11992,9979,1510,2384,33300,992
Feb,23052,11094,3094,27709,11068,696,4336,57997,-34945
Feb,64377,5344,3382,23084,5097,1533,2083,40523,23854
Feb,87838,7238,811,20319,10684,1361,2169,42582,45256
Jun,87819,13645,3355,10383,10321,848,5545,44097,43722
Mar,35620,9089,1264,6233,11455,4277,2746,35064,556
Sep,50461,13799,6777,23682,7822,2158,5911,60149,-9688
Apr,40750,8401,3495,29713,6878,1074,1147,50708,-9958
Jan,29472,4556,3700,20577,5509,2319,3654,40315,-10843
Apr,89263,12331,935,15990,7186,1430,765,38637,50626
Jan,77602,8098,3851,19789,11377,4508,3988,51611,25991
May,45523,7280,4953,7930,10836,983,3417,35399,10124
Apr,50766,6244,3477,17112,4560,4412,3278,39083,11683
Aug,86060,4164,3430,17374,6679,857,5456,37960,48100
Aug,29079,8601,2799,23217,3685,4980,518,43800,-14721
Jul,28399,12804,634,23523,7612,753,4101,49427,-21028
Mar,80726,4021,4414,29783,5821,4494,4966,53499,27227
Jan,36532,4821,5118,20563,8807,1334,3594,44237,-7705
Jan,63162,7938,1303,15425,2412,1690,4327,33095,30067
Dec,23749,8132,3207,15042,2221,2203,5214,36019,-12270
Nov,31353,12473,2866,15395,3249,992,1142,36117,-4764
Mar,48477,11762,4675,27820,3239,3909,2045,53450,-4973
Jun,44570,7969,3762,7208,5202,4646,2926,31713,12857
Jul,31437,12164,1976,12553,8873,3627,1316,40509,-9072
Jun,58104,14178,3915,18796,7893,2620,3371,50773,7331
Jun,83370,12436,7697,10622,9835,4365,2637,47592,35778
Jun,24551,8168,2961,27670,11740,551,2691,53781,-29230
Mar,88359,12634,4442,29320,6403,761,3168,56728,31631
Jun,74880,2713,2540,25074,6185,3502,1363,41377,33503
Aug,32916,9203,4963,23993,5290,2408,4799,50656,-17740
Nov,61445,5545,1506,27562,5142,4146,4127,48028,13417
Nov,67636,10414,1492,5223,10577,2877,4091,34674,32962
Feb,93927,2863,5191,20003,8152,3894,3872,43975,49952
May,98194,6625,2396,19728,3584,4836,2430,39599,58595
Jan,49685,7307,3565,19743,2601,2125,2700,38041,11644
Dec,71134,3425,3248,25158,5942,1728,1028,40529,30605
Jan,87847,4304,5640,19007,6698,4886,4562,45097,42750
May,59993,2653,7192,29300,1807,1889,4934,47775,12218
Dec,64333,11351,6889,17584,11851,1987,4083,53745,10588
Mar,78865,10129,6926,13514,8345,1416,2032,42362,36503
Apr,99096,12034,3161,21175,9306,2641,5675,53992,45104
Mar,69756,8734,3478,10973,3727,1210,1055,29177,40579
Jan,81192,2443,7449,14703,11458,2386,4392,42831,38361
Jan,80686,12657,6875,23470,9165,2716,3300,58183,22503
Dec,68733,9459,6959,28280,11920,1820,1430,59868,8865
Dec,45993,6669,7481,28867,5171,3063,3098,54349,-8356
May,50492,7106,2323,12663,10641,4945,5749,43427,7065
Jun,40981,6436,3907,28668,2568,3126,4693,49398,-8417
Mar,44143,4857,6607,26845,10514,900,1292,51015,-6872
Dec,97603,11472,6595,21241,10052,1250,2969,53579,44024
Sep,80277,5039,5006,7287,1741,2387,4535,25995,54282
May,69990,13987,6888,13878,10922,4185,4675,54535,15455
Aug,82888,13829,4982,15209,7437,1918,4883,48258,34630
Jan,89351,13950,7332,9835,5904,3103,3394,43518,45833
May,69999,10291,2248,7534,3933,4271,2269,30546,39453
Mar,90309,12278,7001,16004,5509,2518,4417,47727,42582
Dec,32446,12502,5617,26914,5526,2536,3650,56745,-24299
Jan,50733,14437,3161,5622,6909,2145,4666,36940,13793
Apr,96000,4737,7441,15975,6349,3987,4858,43347,52653
May,68632,8956,6665,17585,4167,1313,1211,39897,28735
Jul,41576,7239,518,22459,11110,3669,3077,48072,-6496
Jan,23320,3607,3858,11876,8606,1523,5380,34850,-11530
Mar,30750,4953,775,20336,3218,2009,4805,36096,-5346
Feb,73463,14173,4578,29879,2340,2538,4550,58058,15405
Sep,46572,7933,5254,18599,9009,1893,2664,45352,1220
Oct,37948,13386,3445,16138,5639,2846,3648,45102,-7154
Jun,58826,14531,5147,26621,2514,1355,4910,55078,3748
Oct,47867,6682,5274,25378,2411,1666,5670,47081,786
Mar,80231,13284,5198,7694,8724,3254,5626,43780,36451
Aug,86262,8333,7739,25688,5167,2165,2446,51538,34724
Aug,92233,9392,864,24582,2022,4538,5550,46948,45285
Feb,64678,13154,2473,26796,11478,2472,2072,58445,6233
Jun,32963,12854,1294,13710,3758,4187,4856,40659,-7696
Jul,84360,11047,5954,28773,10304,1616,4145,61839,22521
Feb,69434,8609,7295,25817,11137,3868,699,57425,12009
Nov,86617,12338,6370,27293,5808,1233,2877,55919,30698
Oct,40269,6925,1089,15061,10750,4283,4568,42676,-2407
Feb,96312,11578,4794,29401,9833,3421,589,59616,36696
Oct,99732,9250,6660,8810,7733,3829,1090,37372,62360
Jan,97225,11908,4813,5912,11429,2206,5840,42108,55117
Aug,57528,7783,1240,28826,5907,3998,591,48345,9183
Jan,98972,14343,5245,9902,4225,1624,4157,39496,59476
Sep,85602,11917,2694,24572,2014,2358,2603,46158,39444
Nov,53332,12145,7877,24612,7768,2791,4315,59508,-6176
Jun,98929,8723,1169,21955,6458,3013,2465,43783,55146
Jul,89206,2184,1937,15663,3021,4015,4656,31476,57730
Oct,22251,2521,5260,18967,3676,2500,2664,35588,-13337
Jul,65717,12503,1355,20008,10732,2297,1089,47984,17733
Oct,47027,3248,2877,12768,4106,2816,4831,30646,16381
Mar,29583,11850,5490,10135,9975,3080,2580,43110,-13527
Feb,70387,3002,4533,19072,9862,2514,4138,43121,27266
Sep,43104,8266,2393,13289,11961,2667,3814,42390,714
Aug,32224,13419,1686,25417,11765,3528,1285,57100,-24876
Dec,80624,8444,2342,23023,3584,2447,5693,45533,35091
Oct,76058,13330,6744,11443,5942,1643,4616,43718,32340
Jul,49299,12120,826,9842,2277,4731,2388,32184,17115
Sep,98572,9017,6970,26925,4043,3648,4545,55148,43424
Apr,97928,10585,3726,9027,8370,1435,4284,37427,60501
Apr,93474,3617,6653,5260,6860,3657,1677,27724,65750
Jan,24141,13833,2900,14127,4782,500,1777,37919,-13778
Aug,43350,2660,4778,23181,8057,576,5826,45078,-1728
Dec,95082,7524,5050,21715,9369,3128,3465,50251,44831
Mar,90871,9616,6265,9210,9467,2695,801,38054,52817
Jul,25077,7250,4601,29843,11551,1073,2844,57162,-32085
Dec,66015,14356,4515,23443,4481,2048,5368,54211,11804
Feb,91147,9512,5952,5072,6772,685,5663,33656,57491
Feb,79180,8905,7925,10111,10616,4342,3715,45614,33566
Jul,60857,2319,4806,7921,6336,3992,3815,29189,31668
Jun,79840,12416,550,15645,5122,2743,5014,41490,38350
Mar,79902,10775,1968,8888,3960,533,561,26685,53217
Sep,25577,5600,1509,5177,8897,2120,1357,24660,917
Oct,40002,7960,4972,23383,3469,2396,1037,43217,-3215
Jun,70711,7279,7283,12426,8051,2955,1840,39834,30877
Oct,59451,10773,4057,9495,11564,2300,5291,43480,15971
Oct,69103,13888,7413,5269,5068,2583,1317,35538,33565
Jun,48647,3767,1574,15047,6443,1905,3607,32343,16304
Jan,54831,11748,653,23039,10782,4188,5515,55925,-1094
Apr,86830,3798,1081,7533,5380,3152,1474,22418,64412
Oct,56833,14398,1287,20939,10304,1686,5137,53751,3082
Jun,44398,11190,5386,17346,10260,4633,4152,52967,-8569
Jun,81554,10949,3881,26366,3545,2639,3803,51183,30371
Nov,70755,2282,6777,25745,8665,3178,2211,48858,21897
Dec,37706,8337,2767,15314,4649,4294,1289,36650,1056
May,42340,7166,4758,27502,2814,3219,2580,48039,-5699
Jan,84994,9121,1470,16353,4907,2726,1080,35657,49337
Aug,83884,9409,1147,23788,4731,2831,2541,44447,39437
May,37482,7489,7212,7201,11384,4523,851,38660,-1178
Dec,74225,6896,6121,27403,8685,4950,2802,56857,17368
Dec,78849,2130,1445,10659,9273,3868,1573,28948,49901
Dec,94854,3293,5284,6153,11017,4457,2531,32735,62119
May,61256,8059,6758,9161,6869,987,5873,37707,23549
Jul,34650,8957,6118,20503,9273,778,4868,50497,-15847
