Month,Income,Food,Travel,Rent,Shopping,Bills,Entertainment
May,54812,11595,5651,13511,7259,2296,4524
Sep,69570,2740,3410,26517,11286,4469,716
Jul,70901,10495,6982,11422,3485,3559,1109
Feb,80186,3085,2470,9527,9292,2677,4953
Apr,70251,13371,6600,24099,6398,4056,685
Sep,85171,3210,2038,20622,11346,2550,1224
Dec,56160,13226,7155,11665,6078,2489,5465
Feb,39156,10420,3641,12107,8202,1054,1323
Oct,96208,5119,5267,20531,4048,765,2267
Sep,99980,12046,4469,10132,7502,1422,2477
Oct,92320,2267,7755,15471,1799,2571,5274
May,37929,4774,3424,13662,4822,1033,4389
Feb,86606,13041,1070,11782,6611,4483,1684
Apr,82559,6349,5359,23991,7009,2193,4879
Dec,74205,6965,1742,24716,10487,2551,683
Dec,88475,12326,1212,20993,6263,4190,4108
Jul,84341,10125,7232,26081,9626,3331,4266
Dec,62863,5459,5362,19590,6570,4827,2119
Aug,85439,12461,6378,11745,11805,3420,4826
Mar,27194,2989,1793,10634,10107,4667,2935
Jan,91387,14684,3366,17567,11467,1385,1234
Apr,86214,2937,2174,11260,5640,1958,657
Feb,49777,8654,6721,19945,6333,4295,1841
Aug,46183,8989,4163,22569,9839,3655,5804
Apr,47445,10631,6653,28379,3295,3910,3992
Feb,87038,9342,6087,11109,2431,4524,3754
Jun,36198,8023,1859,27825,6172,1062,1575
Jun,41411,4358,1135,5915,3361,4526,5622
Oct,70577,12199,1709,28848,8541,3471,2361
Apr,35867,5345,7788,23001,1723,844,3129
Jun,82501,14322,7235,18669,2547,3216,5635
Feb,34266,8360,7361,14875,10171,3178,5499
Oct,59422,6816,3112,19853,9275,2172,3464
Dec,55208,5743,6287,7425,2365,3627,1388
Feb,51213,9159,1797,5425,9741,4453,5886
Oct,27367,2518,7053,6787,11954,1619,5925
Apr,99026,2268,857,7584,4853,2412,5625
Aug,55362,14925,6266,9648,5682,3502,1633
Jul,71588,7444,6741,21552,6960,2762,4738
Dec,58285,7475,5602,5514,9343,1242,4802
Sep,94755,6185,740,8435,8689,4653,665
Aug,91846,7161,3104,9525,6157,2952,4256
May,56307,11580,7354,24000,4498,3268,4989
Feb,39867,11886,4564,15569,11404,1282,620
May,76523,13465,2326,8204,3985,596,3497
Aug,26378,11581,7781,12765,2567,1086,5008
Oct,96958,5865,4058,15696,9403,2738,3711
Sep,47926,13221,4360,29928,7669,1416,2475
Dec,33180,10011,5860,21142,11371,3849,3655
Dec,56931,4335,4751,19679,5191,3086,920
Dec,44014,5674,4947,6117,10718,4680,2229
Sep,99872,6576,4639,6405,8156,2988,3335
Jan,78502,2500,7235,17131,9713,4293,4863
Sep,25470,11853,7979,20097,7517,3337,2585
Jul,34953,12291,637,10414,6135,2886,2885
Sep,58507,10083,4234,11341,10894,2341,2277
Aug,26523,10294,2467,9174,7751,1702,2877
Jan,77190,7543,7079,22061,9209,1229,4794
Dec,67761,4746,5349,13742,8174,816,3357
Aug,51169,5276,642,5213,2719,575,4600
Aug,65641,5085,7667,6666,9061,3546,1955
Nov,42990,7735,6442,18276,5014,703,1488
Mar,49661,9796,7966,14085,1878,4788,5990
Jan,33419,8613,4133,25638,9785,4275,5490
Aug,34457,13729,6905,17268,7272,3444,2390
Mar,87600,3327,3059,24170,2609,4855,2982
Mar,96102,9772,7316,29597,10067,3551,1149
Jan,53085,12666,4657,27244,7714,3163,2328
Nov,70654,11871,6186,6261,6109,931,2928
May,26130,5746,6042,22556,3448,3263,5174
Oct,22042,7684,6015,26264,3136,3662,2817
Jul,90134,4562,2519,18890,7966,697,546
Oct,62982,6163,6674,23438,3053,538,4960
Sep,85185,5317,7997,18544,8763,3018,2615
Dec,53477,4436,7592,15084,1083,2626,2754
Jul,72709,7769,3349,20139,10631,1228,572
Sep,48716,10499,1692,24199,3668,4399,5878
Aug,98137,14188,2813,26058,6231,3665,3957
Dec,56018,7918,2855,21121,11411,4727,2522
Feb,28061,3089,3006,10196,9890,2624,4585
Jan,28609,6555,7852,9584,2820,4634,2577
Jul,55371,4394,833,10021,5414,4271,1526
Jul,40805,8468,3062,27614,8249,3757,2043
Aug,27857,6004,7084,15182,10290,3706,5116
May,31620,2666,3220,17509,7572,3098,4996
Mar,28177,7718,2938,15652,8627,4935,2536
Dec,50111,7152,2295,7631,3894,3813,5249
Aug,31826,14355,7578,11345,4417,1744,5545
Jun,33890,4234,7203,13096,1248,4587,1347
Nov,78031,8335,753,19906,8810,1157,4580
Mar,95020,3236,4157,11300,11149,3465,1995
Jan,25495,3623,1923,28732,2890,2199,1434
Mar,48481,3374,3737,10844,8880,4956,1895
May,31267,9275,3831,23560,3115,3543,1038
Mar,26743,13503,1527,10362,7581,4924,3919
Jan,74800,8359,6507,13097,4063,2299,570
May,68773,2176,2666,10599,6651,4126,755
Oct,77042,11545,5591,19605,2806,4477,2694
Jul,69476,8704,4494,9258,8300,2476,1401
Jul,48552,4928,969,25503,9487,4169,1169
Nov,85242,10817,6089,11640,3694,4692,2383
Sep,65772,9617,7428,9288,11183,1437,639
Oct,63730,12846,6483,22261,6493,1789,3202
Oct,48948,9614,6119,25869,9223,2650,3168
Dec,96311,13800,1593,23928,5650,1012,1946
Mar,89093,5715,5289,10059,9126,2016,3418
Jul,89123,6274,3412,20141,1792,2582,4403
Jan,36535,10586,7419,28548,5191,1904,4659
Apr,86490,11360,5989,7600,2089,4992,1794
Apr,66562,6971,6640,20902,9421,2431,1367
May,78535,10389,680,24912,3780,2385,3382
Jul,61269,2968,4567,23792,5497,2853,5108
Jul,62462,14100,3576,9860,1789,4307,5626
Nov,23127,5155,1720,15165,5194,3246,1916
Apr,43147,6764,4642,25332,10990,1080,3572
Jul,65528,4504,4123,7334,5457,2712,3832
Nov,97095,9643,5229,5767,7671,3829,5463
Mar,88931,11468,5759,16737,5635,601,5373
Jun,86381,8006,6284,18372,6961,4788,5621
Dec,83749,14359,2063,26267,7738,4342,3082
Feb,58672,14510,6046,25590,6155,3463,858
Oct,33731,9962,5184,27332,1313,798,2000
Sep,74512,9943,4132,12085,7633,4616,2438
May,71024,3269,6473,5744,1232,544,1314
Jun,23832,3364,2857,25558,6735,3043,1095
Dec,52332,8716,6917,28582,10221,4359,5566
Dec,32467,2923,2062,23940,8849,4894,726
Dec,61025,2470,5435,26450,3711,4052,3495
Dec,33107,8597,1913,29181,11480,3655,4335
Apr,97994,13208,3006,9161,8940,3631,5412
Nov,63481,12246,5328,18821,11797,787,3818
Oct,22581,14475,7004,14586,4344,4205,2564
Jul,95118,12243,1517,5286,3122,1016,2851
Dec,71638,4954,7736,8247,11522,2701,2037
Sep,28418,3148,4154,15794,4779,4937,1864
Jul,49113,5086,7305,10099,6654,4681,3328
Jan,83044,11151,7342,21387,10072,4158,1584
Jan,99955,2629,6050,21061,2172,4786,766
Sep,81030,9407,7528,27319,8317,3823,5716
Nov,31814,2774,1257,5411,8744,4576,5902
Sep,30024,10551,4279,25729,1159,4436,1770
Apr,83288,10709,7699,25111,11685,1669,534
Sep,77836,3343,6598,18798,8963,1490,5381
Mar,27435,9398,1120,20704,3129,4205,567
Jul,87084,12161,2388,15109,4078,2351,688
Jun,90601,9197,4084,6356,3229,3209,4636
Aug,23407,7016,681,13349,3917,4507,5203
Nov,52940,13419,7329,22984,4013,3121,1182
Sep,25666,9797,3228,28541,10741,2678,5540
May,57122,4899,2795,10706,7326,1338,3454
Jan,45092,2934,3167,16681,2579,2055,3638
Mar,95645,3986,5916,26943,2960,1722,5542
Oct,46505,6996,2299,12196,8902,2543,1831
Dec,56713,8542,6673,26457,7657,1933,3690
Aug,74387,7465,5921,23766,4844,1668,1352
Nov,63169,8311,1999,18549,5697,1447,5569
Jun,93282,10568,7516,21536,3390,660,3558
Aug,97511,13752,5543,14821,2419,3631,1256
Sep,71742,11966,5971,7796,4917,3127,4496
Apr,60522,3505,1484,16073,5942,3035,2194
Jan,23880,7363,4053,12282,9354,2772,1807
Jan,63454,12846,2864,11951,9307,3963,3095
Oct,75711,3010,7380,24189,8570,660,5967
Apr,63539,5477,6016,9080,6198,2284,1718
Dec,88321,9741,7756,16662,10662,2444,983
Jul,34799,11422,3805,14247,7002,3682,5183
Feb,80102,11369,2715,15771,6142,4474,5967
Mar,70726,5857,3290,15957,4852,4124,4488
Jan,68784,12287,625,27234,1542,4244,4049
May,63333,11864,3120,28746,9605,1266,1621
Jan,60828,12120,4715,6328,9873,2527,781
Aug,89526,5839,1951,17236,9833,4506,1129
Jan,74362,13370,1508,23776,4978,684,2966
Nov,73997,6268,1713,8153,2432,2396,4818
Jan,70341,4553,4204,29576,9860,3795,4675
Feb,39073,12637,6047,5166,11261,2904,5421
Feb,34549,6389,7203,19652,8805,3039,3229
Dec,76920,2551,7869,24638,1968,1232,3964
Jun,95515,7566,3630,26444,6800,2121,2881
Jul,40316,13089,1196,20233,8845,1077,3436
May,46183,11231,2770,6885,10372,2661,1851
Jan,44624,7758,2015,25752,6591,877,5621
Jan,82515,11076,1534,19708,6383,4348,5822
Mar,66705,5051,3340,12529,8470,1808,2805
Feb,46756,7322,2035,5899,5819,4692,3938
May,80390,14421,1313,7248,8632,1341,1336
Dec,88369,13789,809,16455,4235,2671,3949
Oct,90821,4555,1511,8412,6255,655,5050
Jun,29589,3089,7392,16769,1251,4648,2566
Jul,34116,14767,5653,20947,5300,2202,3501
Apr,93181,2458,1518,15379,8409,3135,5574
Jul,64786,6721,3911,11449,4998,3885,932
Nov,96425,14446,4218,14411,9982,1913,4847
Aug,50286,8304,7124,8132,6180,544,5391
Nov,35994,12199,7217,13155,6421,2186,4414
Jan,46639,3920,5420,13136,2495,2669,4133
Jun,37205,9694,4310,5359,8978,3741,3457
Aug,76677,7668,2544,11450,11899,3225,3285
May,52930,8298,1616,15231,9141,1923,720
Apr,93313,8629,5223,29031,6378,4514,2660
Feb,38316,14719,1656,16346,3577,573,5155
Jun,47304,7146,7487,29909,6306,3518,5677
Jun,33403,3003,1488,19852,9133,2060,2744
Nov,93495,5083,2966,22114,2235,1391,4308
Jan,51932,12306,6087,12067,2058,3632,1279
Sep,56701,4589,2328,14689,10362,2389,2762
Dec,23385,12335,2577,22801,4659,1746,5231
Nov,77241,6310,6588,12767,6368,4302,1539
Jun,30367,4241,2845,29272,1056,972,2780
Mar,85030,7766,1584,8763,11084,2717,2303
Apr,66505,9711,3005,11928,8472,1200,1888
Dec,53332,6980,4544,27080,3569,2579,4008
Nov,96325,12278,2851,5878,5080,552,2618
Apr,55268,2938,3505,26866,7377,3487,4283
Mar,45563,6301,4935,24268,2948,638,4555
Oct,56404,5970,2995,15787,1222,1897,2082
Mar,75182,5999,6455,23681,10831,2637,4517
Mar,52991,6650,5921,13852,6217,1327,3945
Apr,67663,8627,7524,16336,10949,2583,957
Jul,85886,5408,7183,18487,10027,3476,4806
Apr,44127,10962,7128,12371,3536,1748,3318
Sep,77692,2248,576,25369,3525,4864,5658
Jan,57500,10564,6252,6269,10176,685,3831
Aug,53785,7950,3062,17898,2357,3942,1176
Jul,67997,4926,2072,22678,5887,3693,2642
Feb,27170,9975,7587,22393,8722,1912,1913
Aug,33303,5857,7302,15283,6982,3688,1405
Jan,91743,6930,4687,23141,5477,3416,5887
Nov,97852,9014,6470,15156,10638,1515,5685
Dec,55187,10893,5061,29160,2371,4634,3891
Sep,85034,12377,7109,17835,4224,4761,4491
Sep,91776,8966,4170,14383,2874,2435,2722
Feb,21893,11133,3611,11578,11691,1968,611
Jul,33753,14106,3237,29564,4361,4926,3879
Oct,58090,8587,1852,14245,7104,1858,4373
Mar,84922,8496,5904,24225,2142,2269,3651
Jul,96768,7091,1446,10716,5309,3261,2444
Dec,79412,10985,5149,23788,9756,3382,3000
Oct,76030,2677,4368,24946,7898,1689,912
Sep,37509,7909,3637,15014,2588,1692,4568
Apr,88653,3561,6636,22655,5998,3316,3151
Dec,56929,6053,6752,29828,10662,4121,5555
Jan,68291,10644,3986,20120,5342,1542,685
Feb,24042,12658,4687,7768,4362,725,2076
Jan,82574,5656,1502,20741,2636,2478,3658
Dec,57201,7234,4963,14751,10664,4477,4577
May,34016,6146,1319,29185,7227,4331,550
May,45022,7488,922,13928,2244,3144,1669
Nov,47938,10081,1071,11142,11290,2383,4950
Jul,63678,13946,3409,18187,11789,1040,5903
Sep,81720,2209,5859,23312,7914,1145,535
Sep,76805,6983,5030,21257,6306,4786,776
Mar,94323,9141,6855,27650,11704,2188,5944
Mar,21986,12118,1923,10413,5514,1354,2964
Mar,96478,6945,2133,28212,9450,904,1388
Apr,32161,9980,7169,7190,3358,3843,903
Aug,40689,5966,2253,6002,6615,2977,5109
Jun,80924,12069,967,16177,2268,1019,3113
Aug,94308,10818,5789,15114,10131,3440,2988
Jan,83745,12918,6438,28038,3376,1907,4485
Aug,21211,11650,5387,13094,9387,1320,5865
Apr,20229,4824,3422,27451,4096,4174,3539
Nov,68542,3250,6853,8752,4635,4335,5665
Jan,34345,6758,2803,27584,1561,4567,2622
Aug,51819,6363,2206,25521,9231,3787,1672
Apr,67779,4163,572,25086,10959,2681,5628
Jun,85584,11815,646,27327,8739,3732,5109
Aug,39950,3853,816,9438,7871,924,3087
Apr,35173,2753,1105,9427,3504,2051,789
Mar,78032,7448,1074,10556,8021,857,2728
Sep,48036,3868,1677,13532,6971,3946,2813
Mar,91356,2181,3826,23772,8876,2094,4678
Sep,34292,3513,3922,11992,9979,1510,2384
Feb,23052,11094,3094,27709,11068,696,4336
Feb,64377,5344,3382,23084,5097,1533,2083
Feb,87838,7238,811,20319,10684,1361,2169
Jun,87819,13645,3355,10383,10321,848,5545
Mar,35620,9089,1264,6233,11455,4277,2746
Sep,50461,13799,6777,23682,7822,2158,5911
Apr,40750,8401,3495,29713,6878,1074,1147
Jan,29472,4556,3700,20577,5509,2319,3654
Apr,89263,12331,935,15990,7186,1430,765
Jan,77602,8098,3851,19789,11377,4508,3988
May,45523,7280,4953,7930,10836,983,3417
Apr,50766,6244,3477,17112,4560,4412,3278
Aug,86060,4164,3430,17374,6679,857,5456
Aug,29079,8601,2799,23217,3685,4980,518
Jul,28399,12804,634,23523,7612,753,4101
Mar,80726,4021,4414,29783,5821,4494,4966
Jan,36532,4821,5118,20563,8807,1334,3594
Jan,63162,7938,1303,15425,2412,1690,4327
Dec,23749,8132,3207,15042,2221,2203,5214
Nov,31353,12473,2866,15395,3249,992,1142
Mar,48477,11762,4675,27820,3239,3909,2045
Jun,44570,7969,3762,7208,5202,4646,2926
Jul,31437,12164,1976,12553,8873,3627,1316
Jun,58104,14178,3915,18796,7893,2620,3371
Jun,83370,12436,7697,10622,9835,4365,2637
Jun,24551,8168,2961,27670,11740,551,2691
Mar,88359,12634,4442,29320,6403,761,3168
Jun,74880,2713,2540,25074,6185,3502,1363
Aug,32916,9203,4963,23993,5290,2408,4799
Nov,61445,5545,1506,27562,5142,4146,4127
Nov,67636,10414,1492,5223,10577,2877,4091
Feb,93927,2863,5191,20003,8152,3894,3872
May,98194,6625,2396,19728,3584,4836,2430
Jan,49685,7307,3565,19743,2601,2125,2700
Dec,71134,3425,3248,25158,5942,1728,1028
Jan,87847,4304,5640,19007,6698,4886,4562
May,59993,2653,7192,29300,1807,1889,4934
Dec,64333,11351,6889,17584,11851,1987,4083
Mar,78865,10129,6926,13514,8345,1416,2032
Apr,99096,12034,3161,21175,9306,2641,5675
Mar,69756,8734,3478,10973,3727,1210,1055
Jan,81192,2443,7449,14703,11458,2386,4392
Jan,80686,12657,6875,23470,9165,2716,3300
Dec,68733,9459,6959,28280,11920,1820,1430
Dec,45993,6669,7481,28867,5171,3063,3098
May,50492,7106,2323,12663,10641,4945,5749
Jun,40981,6436,3907,28668,2568,3126,4693
Mar,44143,4857,6607,26845,10514,900,1292
Dec,97603,11472,6595,21241,10052,1250,2969
Sep,80277,5039,5006,7287,1741,2387,4535
May,69990,13987,6888,13878,10922,4185,4675
Aug,82888,13829,4982,15209,7437,1918,4883
Jan,89351,13950,7332,9835,5904,3103,3394
May,69999,10291,2248,7534,3933,4271,2269
Mar,90309,12278,7001,16004,5509,2518,4417
Dec,32446,12502,5617,26914,5526,2536,3650
Jan,50733,14437,3161,5622,6909,2145,4666
Apr,96000,4737,7441,15975,6349,3987,4858
May,68632,8956,6665,17585,4167,1313,1211
Jul,41576,7239,518,22459,11110,3669,3077
Jan,23320,3607,3858,11876,8606,1523,5380
Mar,30750,4953,775,20336,3218,2009,4805
Feb,73463,14173,4578,29879,2340,2538,4550
Sep,46572,7933,5254,18599,9009,1893,2664
Oct,37948,13386,3445,16138,5639,2846,3648
Jun,58826,14531,5147,26621,2514,1355,4910
Oct,47867,6682,5274,25378,2411,1666,5670
Mar,80231,13284,5198,7694,8724,3254,5626
Aug,86262,8333,7739,25688,5167,2165,2446
Aug,92233,9392,864,24582,2022,4538,5550
Feb,64678,13154,2473,26796,11478,2472,2072
Jun,32963,12854,1294,13710,3758,4187,4856
Jul,84360,11047,5954,28773,10304,1616,4145
Feb,69434,8609,7295,25817,11137,3868,699
Nov,86617,12338,6370,27293,5808,1233,2877
Oct,40269,6925,1089,15061,10750,4283,4568
Feb,96312,11578,4794,29401,9833,3421,589
Oct,99732,9250,6660,8810,7733,3829,1090
Jan,97225,11908,4813,5912,11429,2206,5840
Aug,57528,7783,1240,28826,5907,3998,591
Jan,98972,14343,5245,9902,4225,1624,4157
Sep,85602,11917,2694,24572,2014,2358,2603
Nov,53332,12145,7877,24612,7768,2791,4315
Jun,98929,8723,1169,21955,6458,3013,2465
Jul,89206,2184,1937,15663,3021,4015,4656
Oct,22251,2521,5260,18967,3676,2500,2664
Jul,65717,12503,1355,20008,10732,2297,1089
Oct,47027,3248,2877,12768,4106,2816,4831
Mar,29583,11850,5490,10135,9975,3080,2580
Feb,70387,3002,4533,19072,9862,2514,4138
Sep,43104,8266,2393,13289,11961,2667,3814
Aug,32224,13419,1686,25417,11765,3528,1285
Dec,80624,8444,2342,23023,3584,2447,5693
Oct,76058,13330,6744,11443,5942,1643,4616
Jul,49299,12120,826,9842,2277,4731,2388
Sep,98572,9017,6970,26925,4043,3648,4545
Apr,97928,10585,3726,9027,8370,1435,4284
Apr,93474,3617,6653,5260,6860,3657,1677
Jan,24141,13833,2900,14127,4782,500,1777
Aug,43350,2660,4778,23181,8057,576,5826
Dec,95082,7524,5050,21715,9369,3128,3465
Mar,90871,9616,6265,9210,9467,2695,801
Jul,25077,7250,4601,29843,11551,1073,2844
Dec,66015,14356,4515,23443,4481,2048,5368
Feb,91147,9512,5952,5072,6772,685,5663
Feb,79180,8905,7925,10111,10616,4342,3715
Jul,60857,2319,4806,7921,6336,3992,3815
Jun,79840,12416,550,15645,5122,2743,5014
Mar,79902,10775,1968,8888,3960,533,561
Sep,25577,5600,1509,5177,8897,2120,1357
Oct,40002,7960,4972,23383,3469,2396,1037
Jun,70711,7279,7283,12426,8051,2955,1840
Oct,59451,10773,4057,9495,11564,2300,5291
Oct,69103,13888,7413,5269,5068,2583,1317
Jun,48647,3767,1574,15047,6443,1905,3607
Jan,54831,11748,653,23039,10782,4188,5515
Apr,86830,3798,1081,7533,5380,3152,1474
Oct,56833,14398,1287,20939,10304,1686,5137
Jun,44398,11190,5386,17346,10260,4633,4152
Jun,81554,10949,3881,26366,3545,2639,3803
Nov,70755,2282,6777,25745,8665,3178,2211
Dec,37706,8337,2767,15314,4649,4294,1289
May,42340,7166,4758,27502,2814,3219,2580
Jan,84994,9121,1470,16353,4907,2726,1080
Aug,83884,9409,1147,23788,4731,2831,2541
May,37482,7489,7212,7201,11384,4523,851
Dec,74225,6896,6121,27403,8685,4950,2802
Dec,78849,2130,1445,10659,9273,3868,1573
Dec,94854,3293,5284,6153,11017,4457,2531
May,61256,8059,6758,9161,6869,987,5873
Jul,34650,8957,6118,20503,9273,778,4868
Apr,66118,2060,1995,22720,1093,3091,2382
Jun,48930,4211,2547,29982,9186,1149,4845
Apr,31801,11740,1672,8478,1342,3478,1760
Mar,71360,14559,7908,21660,7940,854,731
Jul,36559,11973,4718,28142,3408,2742,1456
Aug,52334,8276,5399,24864,11046,2980,5229
Apr,33288,7363,3386,7361,10281,1057,4837
Feb,42398,10152,5688,26752,1623,3986,2681
Dec,96230,9973,7469,15160,1867,661,1594
Oct,32191,2037,4658,7446,11668,1198,4429
Mar,38051,7990,1232,16931,4472,2473,4036
Jan,81715,7438,3587,12601,1170,4044,3992
Aug,30737,9677,3961,10051,10974,4277,3881
Mar,85140,13823,7233,8517,9769,2705,5619
Dec,45251,12856,2157,9802,9259,991,1802
Oct,70975,2473,5543,17390,2515,2492,4814
Jul,25147,2058,7925,23759,9192,1532,1196
Oct,70508,4636,6860,12850,3198,3783,806
May,72224,4614,978,11744,1901,4010,2523
Oct,39643,12806,1637,27773,6903,1285,813
May,58967,9296,4453,20417,8755,2333,3974
Jul,60733,6999,6592,11248,9986,1491,1902
Sep,54808,14670,5999,22355,3066,4706,4876
Dec,87288,11603,1476,20428,11011,2283,3898
May,78959,10276,736,12136,9562,1684,534
Jan,21849,11725,3023,14517,3538,2961,2617
Oct,88178,5797,4543,29728,4907,2168,859
Oct,87136,4674,6550,16800,7960,2813,907
Jan,80740,13065,1097,25344,11246,1071,5175
Feb,64565,8436,2202,24470,3596,4800,5201
Jun,40183,5120,2676,18417,10880,4238,3609
Sep,21132,11282,3057,8967,4321,1083,4433
Aug,58259,13026,664,17361,10330,2720,2592
May,83668,14416,2824,9951,8720,807,636
Jan,58563,4076,6900,9002,3621,561,3370
Jul,30931,5190,7799,7332,11920,4288,1478
May,93169,6787,3539,16460,10357,2633,5415
Jun,70639,8056,1069,9375,10700,2459,1984
Jul,78901,14420,3828,5685,4841,2532,2914
Mar,21044,9494,640,25272,5558,4262,3876
Dec,66691,11400,1185,22352,5918,3286,966
Oct,44363,5577,1186,28704,9715,2042,5433
Mar,66694,6741,3780,7033,11450,2175,1474
May,21582,8832,3263,12075,5339,533,5218
Jun,99910,4581,7666,26645,1238,4461,2422
Sep,86844,5787,4090,19647,2220,3299,5687
Dec,41301,10707,2538,5645,1768,2355,3097
May,94329,9103,1574,9121,9426,4180,3151
Jan,21620,12404,6122,13112,7330,3185,2299
Apr,82224,13166,5878,14271,11952,1557,1515
May,76655,2932,2725,11436,8388,3461,2248
Dec,57534,3663,5517,17517,5592,4888,3817
Oct,59390,10748,7186,15292,10711,3127,1184
Oct,91629,9914,1841,28481,11095,4320,3650
May,75856,11863,2189,13292,11426,3657,1956
Jul,69252,11184,3510,10586,8617,4143,868
Apr,75809,11820,863,5868,9082,4262,4946
Jan,42259,11883,5674,19602,8579,2631,5845
May,40655,6852,7823,10914,10127,1106,5113
Jul,53005,3104,1567,13213,10460,2855,1844
Oct,51629,3270,3140,27739,7456,2799,4617
Oct,43610,13094,4249,6903,10010,4416,678
Jun,77184,14936,2530,7576,5117,4775,3255
May,41602,11601,7185,19723,11307,1833,1632
Apr,31110,5646,6965,9109,3439,4508,1979
Feb,26073,7087,7291,25998,10280,2973,5848
Apr,30195,11522,6657,29398,11019,4057,5533
Oct,21537,6723,5976,24677,7086,4233,3566
Oct,37138,4054,6102,23319,5824,2586,4528
Mar,64328,11145,1117,5615,11780,3850,5126
Oct,66202,8658,4954,26441,11807,875,2911
Jan,60164,3842,5937,15642,11065,2452,2420
Aug,74659,4802,3646,16776,10965,4210,2972
May,69692,9735,2482,29862,9391,2588,1458
Apr,44845,10201,6210,16510,9369,2193,3787
Aug,50562,12801,693,6923,6542,4055,1571
Jul,48036,10313,4958,18402,10122,4780,1988
Feb,80752,14974,1619,11455,3036,571,5267
Jan,94233,8105,5659,12604,10677,2274,2433
Dec,88681,4560,7411,13152,3091,1073,5892
Nov,47818,5037,7040,7773,6550,4566,2516
Apr,50544,10632,4702,15282,5263,4207,5649
Aug,82532,4749,7684,26577,7430,652,5474
Dec,98636,2590,1026,14776,3384,1228,4437
Feb,77705,3368,2452,23287,11107,2779,3535
Mar,40104,12181,7654,5143,7326,2052,3761
Dec,89603,3361,5379,28880,9207,4163,2699
Jan,79025,10128,7168,23640,8663,4067,1899
Jan,52317,5773,2282,22083,10028,4771,2802
Mar,51416,4064,6345,17401,8721,4844,5353
Nov,62012,4415,5662,27702,3157,3606,4782
May,88045,4951,3173,5270,10768,1499,1378
Dec,41400,7616,6461,13254,1305,1634,5268
Mar,68270,9975,2897,6007,8123,3645,5471
Jan,92069,12960,4224,18715,3053,3215,4713
Jan,69833,13608,7697,15464,6812,853,4194
Aug,83644,9101,6060,15174,4344,1802,5677
Oct,89468,11768,5601,12203,5456,4582,1370
Nov,79473,7003,3089,8724,2208,4231,1205
Dec,65809,10306,4026,16926,2858,1009,3189
Dec,58328,8243,4349,27983,3703,2037,2759
Feb,56784,8581,2134,27871,2971,677,5081
Mar,43723,11560,3509,12917,2113,2876,4367
Feb,80646,10330,593,25893,1983,1300,2077
Mar,86255,6923,4294,20739,11963,3743,5622
Jul,20074,8467,3866,26784,11354,4166,2467
Jan,46498,6941,6639,25704,3127,1437,1752
Oct,85522,13565,3446,19615,4639,3527,1752
Aug,40541,8437,588,10472,8476,2520,3549
Oct,65929,8076,6549,12206,1560,3282,5580
Oct,46028,7648,3050,28256,7652,4040,4938
Oct,49545,10001,3314,29307,11001,2474,3628
Feb,99569,3315,6637,9716,5387,2018,5835
Mar,51673,2073,6857,28502,3932,3169,2166
Sep,50974,14038,1945,7620,9482,1758,5733
Jul,78899,10675,5121,23920,2909,3610,4889
